lexico  48.7096908887   34.060177654 2 1
random  50.593760103    19.2863752127 2 1
cost    34.8829434157   16.769655776 2 1
anti    48.0102195024   7.43135869502 2 1
cost+anti 31.4951933146  7.11774754525 2 1
opt     33.4436362028   8.38996973037 2 1

