lexico  315.560298333   144.260496583 10 14
random  247.052468167   143.79354475 10 14
cost    204.375376833   67.4308923333 12 14
anti    204.342575417   84.9519295833 12 14
balanced       204.22757775    67.4429788333 13 13
clairvoyant     204.306541      50.7378600833 13 13
