# algorithm bandwidth(kbps) delay(s)
lexico  315.560298333   144.260496583
random  247.052468167   143.79354475
cost    204.375376833   67.4308923333
anti    204.342575417   84.9519295833
balanced       204.22757775    67.4429788333
clairvoyant     204.306541      50.7378600833
